image_id,split,image_path,mask_path,prediction_path,width,height,threshold,model_forward_latency_ms,tp,fp,fn,tn,iou,dice,precision,recall,specificity,pixel_accuracy,balanced_accuracy,mcc,cohen_kappa,water_fraction,predicted_water_fraction,water_fraction_error,target_has_water,prediction_has_water,empty_mask_correct,empty_mask_false_positive,empty_policy,boundary_precision,boundary_recall,boundary_f1,boundary_iou,hd95,assd
water_body_233,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_233.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_233.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_233.png,203,238,0.45,16.738935470581055,14797,2797,2646,28074,0.7310770750988143,0.8446499414904244,0.8410253495509833,0.8483059106805022,0.9093971688639824,0.8873411433538932,0.8788515397722423,0.756296502734661,0.7562792153449949,0.36103406879993377,0.36415945688620277,0.0031253880862689987,True,True,False,False,perfect_if_both_empty,0.9797588285960379,0.5599105812220566,0.7125910688080256,0.19313077939233816,13.892443989449804,3.0888522166430055
water_body_2330,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2330.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2330.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2330.png,194,256,0.45,16.738935470581055,18503,2375,804,27982,0.853380684438705,0.9208908796814732,0.8862438930932082,0.9583570725643549,0.9217643377145304,0.9359898518041238,0.9400607051394426,0.8691491353140869,0.8672776271611573,0.38875241623711343,0.42038498711340205,0.031632570876288624,True,True,False,False,perfect_if_both_empty,0.5729847494553377,0.809149040826365,0.6708902765996709,0.09893651305188528,50.35871324805669,7.5111576657888035
water_body_2334,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2334.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2334.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2334.png,3656,4718,0.45,16.738935470581055,1125819,132778,566728,15423683,0.6167772862366976,0.7629712409831577,0.8945031650321748,0.6651626217765297,0.9914647682400258,0.9594465954216034,0.8283136950082778,0.7510547656046451,0.741320927149897,0.0981243095255101,0.07296634102088653,-0.025157968504623568,True,True,False,False,perfect_if_both_empty,0.7071882396910427,0.0896442661349184,0.15911843531191158,0.042685127390342165,660.5966999614818,187.10803575684983
water_body_2340,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2340.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2340.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2340.png,1109,1384,0.45,16.738935470581055,1534856,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,True,True,False,False,perfect_if_both_empty,1.0,1.0,1.0,1.0,0.0,0.0
water_body_2350,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2350.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2350.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2350.png,1942,2518,0.45,16.74903106689453,1493652,81843,18155,3296306,0.9372522197471214,0.9676099066434058,0.9480525168280445,0.9879911919973912,0.9757728270718669,0.9795503272422084,0.981882009534629,0.9531106309859964,0.952677641517425,0.3091657675447386,0.32219001561568245,0.013024248070943822,True,True,False,False,perfect_if_both_empty,0.23060302494598311,0.05538822808719179,0.08932226288629089,0.0071894978727276865,623.082177563704,140.8272366615781
water_body_2351,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2351.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2351.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2351.png,171,214,0.45,16.74903106689453,1035,966,1721,32872,0.2780763030628694,0.43514820264872817,0.5172413793103449,0.37554426705370103,0.9714522134877948,0.9265726621850576,0.6734982402707479,0.4027628096760307,0.3969383865303192,0.07531289282396021,0.05468109526151828,-0.020631797562441934,True,True,False,False,perfect_if_both_empty,0.9027027027027027,0.43882544861337686,0.5905637061576485,0.13675213675213677,99.48457367833866,15.675894829722589
water_body_2352,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2352.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2352.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2352.png,1343,1674,0.45,16.74903106689453,2248182,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,True,True,False,False,perfect_if_both_empty,1.0,1.0,1.0,1.0,0.0,0.0
water_body_2353,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2353.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2353.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2353.png,2420,3125,0.45,16.74903106689453,1369926,116598,81073,5994903,0.8739019020832522,0.9327082715607673,0.9215633249110005,0.9441260814101181,0.9809215444781896,0.9738616859504132,0.9625238129441538,0.9165952567486756,0.9164920257286501,0.19186763636363635,0.19656515702479338,0.004697520661157029,True,True,False,False,perfect_if_both_empty,0.7218960388288711,0.21507649411829025,0.33141391810244336,0.09978052349211511,416.705051068628,68.34301485335644
water_body_2355,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2355.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2355.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2355.png,1358,1731,0.45,16.748815536499023,170917,10394,7569,2161818,0.9048972892842017,0.950074625413775,0.9426730865750009,0.9575933126407673,0.9952150158455989,0.9923584399186965,0.9764041642431831,0.9459716781301606,0.9459374858842562,0.0759289368519478,0.07713070756005237,0.0012017707081045659,True,True,False,False,perfect_if_both_empty,0.47020262216924913,0.18800588668138338,0.26861050780156964,0.021506493506493505,145.00155170568743,31.919338419290625
water_body_2358,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2358.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2358.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2358.png,3096,3847,0.45,16.748815536499023,11910312,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,True,True,False,False,perfect_if_both_empty,1.0,1.0,1.0,1.0,0.0,0.0
water_body_2359,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2359.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2359.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2359.png,356,440,0.45,16.748815536499023,42769,8904,12017,92950,0.6715182917255456,0.8034830310260288,0.8276856385346313,0.7806556419523236,0.9125807528423037,0.8664389683350358,0.8466181973973137,0.7031483557728232,0.7024588827351828,0.3497574055158325,0.3298838100102145,-0.019873595505618014,True,True,False,False,perfect_if_both_empty,0.9666561811890532,0.5286083895321712,0.6834677650700937,0.12996376264532689,15.811388300841896,3.973775318227239
water_body_2361,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2361.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2361.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2361.png,1551,1958,0.45,16.748815536499023,3036858,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,True,True,False,False,perfect_if_both_empty,1.0,1.0,1.0,1.0,0.0,0.0
water_body_2363,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2363.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2363.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2363.png,2645,1765,0.45,16.725488662719727,288644,83135,127973,4168673,0.5775744769405625,0.7322310108118255,0.7763859712355996,0.6928281851196663,0.980447141545432,0.9547796098255835,0.8366376633325492,0.7089911285661866,0.7076227688366973,0.0892414465263981,0.0796369225166946,-0.009604524009703491,True,True,False,False,perfect_if_both_empty,0.2663618864292589,0.08846951276976722,0.13282311749200623,0.022337704191592644,370.2684831054229,70.75923983878165
water_body_2364,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2364.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2364.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2364.png,3107,4162,0.45,16.725488662719727,12931334,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,True,True,False,False,perfect_if_both_empty,1.0,1.0,1.0,1.0,0.0,0.0
