image_id,iou_v3,iou_historical
water_body_1650,0.5498096056995455,0.6307109699486929
water_body_1654,0.05508406725380304,0.1632356317440881
water_body_1655,0.885312350977587,0.8879497705868148
water_body_1658,0.800494484594903,0.7689743833920579
water_body_1665,0.8350166276635054,0.7985209123112299
water_body_1667,0.21486880466472302,0.2719582433405327
water_body_1669,0.6792145316894929,0.6999869468737763
water_body_1678,1.0,1.0
water_body_1693,0.5302482408131353,0.6756798676455382
water_body_1700,0.90928506594052,0.8992669723107208
water_body_1726,0.7104369648656629,0.7217014572666404
water_body_1732,0.8272960972189763,0.8702841173730788
water_body_1738,0.9060496794871795,0.9052974015020684
water_body_1746,0.88360648336268,0.891274925561671
water_body_175,0.5025868440502587,0.5230769230769231
water_body_1754,0.6974044606756228,0.7074764726385501
water_body_1756,0.7772714326402734,0.7757558389454077
water_body_1758,0.8598242530755712,0.8579088471849866
water_body_1759,0.7495262021243775,0.7984691405871525
water_body_1772,0.8325932504440497,0.850766765850309
water_body_1773,0.840676883780332,0.8403888366259016
water_body_1777,0.053109137055837564,0.0702921783316193
water_body_1780,0.5585956416464891,0.5570776255707762
water_body_1787,0.588733538318733,0.6186529098075585
water_body_1788,0.22990092177256372,0.2893191109440345
water_body_1803,0.6580890849351406,0.6693972077019784
water_body_1804,0.6809378185524975,0.6500179662234998
water_body_1809,0.7735611098371933,0.7728493855387254
water_body_1824,0.8500988600580955,0.8634478383917245
water_body_1827,0.9394433708936683,0.9346120095273912
water_body_1832,0.5418840554918832,0.2318938840791349
water_body_1844,0.5690322580645162,0.5835906484340538
water_body_1845,0.5411208151382824,0.500664123216052
water_body_19,0.7719920058093132,0.7267351355734892
water_body_2,0.5971922812060241,0.566803985971163
water_body_2182,0.8768049356786558,0.8698549588396707
water_body_2190,1.0,1.0
water_body_2196,0.808857583944423,0.8352426830749302
water_body_2210,0.7275873192762251,0.7111341427302339
water_body_2228,0.6759332552322452,0.6403779229501191
water_body_2236,0.766440892863101,0.7624880634857915
water_body_2237,0.8774796422373515,0.8725694536052555
water_body_2240,0.8338361974725611,0.8231004366812227
water_body_2244,0.49440204548095923,0.4797526581705754
water_body_2266,0.6285441657579062,0.8170644816530104
water_body_2267,0.6150675048953932,0.653321601407831
water_body_2273,0.8894780909852079,0.8809495642572657
water_body_2285,0.7306626848463984,0.7426040716068409
water_body_2289,0.5891806097480325,0.5906147787197117
water_body_2295,0.6439436884919164,0.6567424744212517
water_body_2311,0.8064075717461694,0.7981968641931342
water_body_2332,0.9111463900006708,0.8909158381115733
water_body_2366,0.9730017314360652,0.9698846813152564
water_body_2367,0.9662173245142633,0.959226398054259
water_body_2385,0.6919176158527072,0.7030229746070134
water_body_2387,0.9301906848601861,0.9216808301661188
water_body_2407,0.18038027932020864,0.1753424657534246
water_body_2448,0.8526211671612265,0.8242417045271715
water_body_2496,0.7837813417664332,0.7743149785520441
water_body_2498,0.4880609896432681,0.5193208430913349
water_body_2513,0.636310515722726,0.5957297043641483
water_body_2516,0.8121344087406911,0.7816001121633507
water_body_2527,0.5869596856352787,0.591299693734947
water_body_2528,0.5213855807401716,0.5088498304039469
water_body_2530,0.7998677934003895,0.7914481573624957
water_body_2536,0.5724614081938383,0.5137525196696794
water_body_2541,0.8611105614153127,0.8460141786096802
water_body_2556,0.6552614590058102,0.6104032729398012
water_body_2636,0.6847812139099192,0.6617979706585665
water_body_38,0.9219034808734239,0.922235361820263
water_body_40,0.9562395757601676,0.9545425395468148
water_body_6,0.7113076501032841,0.6902774001841068
water_body_607,0.37310709232274936,0.4992439413134987
water_body_620,0.9625320078732073,0.9546879584539308
water_body_627,0.23759890181903467,0.8297814432989691
water_body_635,0.7840255603842062,0.7444979725875018
water_body_6382,0.8029104982508793,0.7560768081683049
water_body_639,0.8508320044084127,0.8166271919733287
water_body_6390,0.8640099342888188,0.9077999905496992
water_body_6396,0.3264976385781755,0.3273994771567285
water_body_6403,0.37584008130347835,0.2425930638359749
water_body_6404,0.8358956967367548,0.8360208948444242
water_body_6405,0.8716899718904982,0.8645144029251761
water_body_6406,0.8031442241968558,0.7707061900610288
water_body_6435,0.7202195334913309,0.664389941012108
water_body_646,0.9881127074325621,0.984120879373955
water_body_650,0.7023543718993907,0.7444092027707555
water_body_657,0.9035667663283783,0.8936062031269861
water_body_661,0.8965850188027239,0.8881823269064455
water_body_665,1.0,1.0
water_body_667,0.8630753999372648,0.8445667191504855
water_body_677,0.5141451414514145,0.528736298787914
water_body_680,0.9328404476992714,0.927427096245072
water_body_681,0.8848800231280717,0.8830451460607849
water_body_684,0.7428049154736014,0.7760196519734314
water_body_69,0.526751503841496,0.5018759018759019
water_body_695,0.7878369454283485,0.8009471788017898
water_body_699,0.885366988484355,0.8867223769730733
water_body_7028,0.8484864507600793,0.8495073630681216
water_body_7042,0.87324751223964,0.8781622707928335
water_body_7045,0.8018853795720039,0.7846075507383429
water_body_7050,0.5714726450020567,0.5823908918406072
water_body_7052,1.0,1.0
water_body_7056,1.0,1.0
water_body_7070,0.8983333333333333,0.7011467889908257
water_body_7075,0.8844572264688817,0.8834746283327191
water_body_7076,0.7482146861979013,0.6263362259432321
water_body_7091,0.25217741529476917,0.152650978168415
water_body_7093,0.8289133247089263,0.8303103587263201
water_body_7094,0.75484684065372,0.7406548384912305
water_body_7096,1.0,1.0
