experiment,prompt_mode,split,iou,dice,precision,recall,specificity,pixel_accuracy,balanced_accuracy,mcc,cohen_kappa,boundary_f1,boundary_iou,hd95,assd,water_fraction,predicted_water_fraction,latency_ms,images
experiment_B_finetuned_sam,point1,validation,0.5907414107550614,0.7244838698503334,0.7147589740655057,0.7861546561236293,0.7916314812774126,0.8124358419607599,0.788893068700521,0.5387583552418335,0.521173696005935,0.39137247363094546,0.06760188468230274,170.8611801628652,108.31308760669877,0.38910508371458596,0.42304477327769713,236.82457445105652,429
experiment_B_finetuned_sam,points,test,0.6037614607022608,0.7353169806582025,0.7669795564310936,0.7394731549736305,0.8470913377855867,0.8396497284883919,0.7932822463796086,0.5588549695008593,0.5445262956920413,0.39283700198544064,0.08127252406403108,112.11182692630798,52.1203221901235,0.38841168345591565,0.3845230432891445,236.96362387409494,421
experiment_B_finetuned_sam,points,train,0.6087441959628779,0.7386150748694902,0.7668845562143096,0.7471138942140508,0.8555646754336476,0.8428476513606903,0.8013392848238492,0.5633355020012137,0.5504911895398551,0.3895881408580825,0.08228851382207086,135.52856207067708,72.18607813087112,0.38737451461400724,0.3849508808990329,237.10089974914217,1991
experiment_B_finetuned_sam,points,validation,0.6089875659969404,0.7400606559522577,0.764083985844339,0.7480096496623098,0.8504474174526286,0.8422378071683997,0.7992285335574693,0.5607741434268682,0.548099369978194,0.40814135074088054,0.08968028585432633,128.2164521595841,58.61388067571417,0.38910508371458596,0.3894249143862954,236.921743402024,429
experiment_C_segformer,automatic,test,0.7189947353293028,0.8190710938509662,0.8596342575670756,0.8058885635642526,0.917559166611023,0.8945305917304767,0.8617238650876378,0.6941139999097629,0.6851359698247398,0.5985122548091031,0.1291108758115649,49.536312011698335,11.708927476774202,0.38841168345591565,0.36826448919261284,8.29630242397169,421
experiment_C_segformer,automatic,train,0.7385100368221179,0.8347090635153313,0.8707235804248301,0.8191055773364204,0.9229680386963193,0.9079831177699146,0.87103680801637,0.7103969741074986,0.7039946129760594,0.5989345352084718,0.132562658208523,64.58580543400181,19.542237701257445,0.38737451461400724,0.3695042267320615,8.035004594109346,1991
experiment_C_segformer,automatic,validation,0.7257905553082638,0.8245498622022253,0.8567947603804197,0.8162554391830791,0.9151894221441164,0.897865894009181,0.8657224306635977,0.6984854008790526,0.6913726112683263,0.6010801533735286,0.13170769437345808,71.98878982744894,24.501877154112336,0.38910508371458596,0.371824053452141,8.188735700707294,429
experiment_D_auto_sam,segformer_auto_prompt,test,0.6093288060213057,0.7352062851698753,0.6914187255261258,0.8495237595347176,0.7341796056517361,0.8047573700847778,0.7918516825932268,0.534534523599239,0.5108061643976335,0.4130588290430808,0.08782250935098436,86.73417906809338,36.113421817998486,0.38841168345591565,0.48700053574520547,242.81045914478082,421
experiment_D_auto_sam,segformer_auto_prompt,train,0.6224201284738126,0.7486869445288719,0.7009691186643312,0.8560661919581005,0.7465833592397856,0.8176688410447084,0.801324775598943,0.5497406998428269,0.5280119337054483,0.4026326051489903,0.08443897442054889,131.01132330442076,78.44069792413896,0.38737451461400724,0.4785906349809873,242.78466765544732,1991
experiment_D_auto_sam,segformer_auto_prompt,validation,0.6122961318201803,0.739564989260273,0.6949011833946847,0.8532825406402591,0.7338342819799022,0.8060707167971303,0.7935584113100806,0.5361637065693111,0.5127785553447181,0.40348877343916395,0.07883433954833322,145.7964214078498,89.22518087108892,0.38910508371458596,0.4835659137270408,242.97757116308526,429
