image_id,split,experiment,prompt_mode,status,image_path,mask_path,prediction_path,probability_path,threshold,tp,fp,fn,tn,iou,dice,precision,recall,specificity,pixel_accuracy,balanced_accuracy,mcc,cohen_kappa,boundary_precision,boundary_recall,boundary_f1,boundary_iou,hd95,assd,water_fraction,predicted_water_fraction,latency_ms
water_body_1365,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1365.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1365.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1365.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1365.png,0.5,136306,2915,7304,223108,0.9302576352158335,0.96386888283109,0.9790620667859016,0.9491400320311956,0.9871030824296643,0.972353658899503,0.9681215572304299,0.9417863119389983,0.9414888837740327,0.9699106723084157,0.437519284171552,0.6030205923995717,0.08685682839585435,30.0,6.945265769958496,0.38852050547434885,0.3766465656475477,7.5960232502438885
water_body_1366,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1366.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1366.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1366.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1366.png,0.5,9986,3182,1912,34303,0.6622015915119364,0.7967765100135642,0.7583535844471446,0.8393007228105563,0.9151127117513672,0.8968470931292145,0.8772067172809618,0.7295767740964794,0.727896032892998,0.6168327796234773,0.297055730809674,0.4009979555417941,0.05467174546269325,24.979845428466795,8.053046226501465,0.24093311463459086,0.26665046675981613,7.5960232502438885
water_body_1367,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1367.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1367.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1367.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1367.png,0.5,17565,1393,2173,26719,0.8312431971984289,0.9078457721728344,0.9265217849984175,0.8899077920761982,0.9504482071713147,0.9254754440961338,0.9201779996237565,0.8458155917334055,0.845331418536698,0.9721577726218097,0.5897783808231569,0.7341627066854872,0.1082024432809773,11.19999885559082,3.0054242610931396,0.4124973876698015,0.39619644723093,7.5960232502438885
water_body_1368,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1368.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1368.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1368.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1368.png,0.5,490,50,2117,26863,0.1844185171245766,0.3114076898633619,0.9074074074074074,0.18795550441120062,0.9981421617805522,0.9265921409214092,0.5930488330958764,0.39404555022336507,0.28988582640978583,1.0,0.24761037778789258,0.39693542502736223,0.02,66.0886047363281,15.448334693908691,0.0883130081300813,0.018292682926829267,7.5960232502438885
water_body_1369,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1369.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1369.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1369.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1369.png,0.5,10575,3002,4214,271717,0.5944016637625766,0.7456109426778538,0.7788907711571039,0.7150584894178106,0.9890724704152243,0.9750749547508186,0.8520654799165175,0.7332718900970281,0.7325315836525902,0.9131489568170791,0.5121873506452127,0.6562708639188339,0.07907337906043743,141.0,27.258712768554688,0.051083217044088594,0.04689680423338906,7.5960232502438885
water_body_1370,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1370.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1370.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1370.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1370.png,0.5,3616960,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,7.594476125177607
water_body_1373,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1373.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1373.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1373.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1373.png,0.5,3334,382,755,21074,0.7456944755088347,0.8543241511851377,0.8972012917115177,0.8153582783076547,0.9821961222967934,0.9554903112155021,0.8987772003022241,0.8294466894289014,0.8281271716429678,0.9984615384615385,0.7569023569023569,0.8610612235262177,0.1685823754789272,4.196899890899658,1.3477298021316528,0.1600704638872578,0.1454687805832844,7.594476125177607
water_body_1376,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1376.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1376.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1376.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1376.png,0.5,3609,5590,14147,404109,0.1545875096376253,0.267779632721202,0.3923252527448636,0.20325523766614104,0.9863558368460748,0.9538267186019581,0.5948055372561079,0.2607217846196261,0.24641384423909188,0.369921875,0.1118052738336714,0.17171220941803508,0.020639056500274273,277.8787597656246,55.59734344482422,0.041538875437180524,0.021520393959598087,7.594476125177607
water_body_1382,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1382.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1382.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1382.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1382.png,0.5,28526,2790,1544,23870,0.8681071211199026,0.9293975825106702,0.9109081619619364,0.9486531426671101,0.8953488372093024,0.9236030319055174,0.9220009899382062,0.8470725278847523,0.8462445432963435,0.9034296028880866,0.2562550443906376,0.3992609431109609,0.05443772373781015,64.14077301025391,19.405071258544922,0.5300546448087432,0.5520183324519654,7.594476125177607
water_body_1383,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1383.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1383.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1383.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1383.png,0.5,22998,3106,8175,121700,0.6709063858338925,0.8030448522094383,0.8810144039227704,0.7377538254258493,0.9751133759594891,0.9276761615345656,0.8564336006926692,0.7636587896617175,0.759174424535137,0.7637721755368814,0.4007680491551459,0.525693279285131,0.09922500317621649,55.5906982421875,10.042450904846191,0.1998538264766411,0.16735586200706506,7.594476125177607
water_body_1388,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1388.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1388.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1388.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1388.png,0.5,20103,4827,1954,13564,0.747768189257551,0.8556834869219145,0.8063778580024067,0.9114113433377159,0.7375346636941983,0.8323526503164557,0.8244730035159571,0.6645160047844426,0.6574815245275563,0.914580265095729,0.38560507178817827,0.5424869497813434,0.09142578759337447,40.1968994140625,8.683829307556152,0.5453174446202531,0.616346914556962,7.594476125177607
water_body_1390,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1390.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1390.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1390.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1390.png,0.5,636,272,2892,28912,0.16736842105263158,0.2867448151487827,0.7004405286343612,0.18027210884353742,0.9906798245614035,0.9032770848618245,0.5854759667024705,0.322795087532434,0.25379889246409115,0.8512931034482759,0.22627511591962907,0.3575206510402338,0.06538018433179724,56.78852958679199,21.556354522705078,0.1078503301540719,0.027757397896796283,7.594476125177607
